subject_code,cert,us_equiv,subject,difficulty,weight,hours,common_topic
CMT_L2_Risk,CMT Level 2,CMT,Risk Management,8,15,30,Risk Analysis
CMT_L2_Selection,CMT Level 2,CMT,Advanced Selection,7,10,20,Company Analysis
CMT_L2_System,CMT Level 2,CMT,System Testing,8,10,25,Research Reports
CMT_L2_Other,CMT Level 2,CMT,Market Indicators,6,35,35,Market Structure
CMT_L3_Portfolio,CMT Level 3,CMT,Portfolio Management,8,18,35,Company Analysis
CMT_L3_Risk,CMT Level 3,CMT,Advanced Risk Management,9,21,40,Risk Analysis
CMT_L3_Classic,CMT Level 3,CMT,Classic Methods,7,21,35,Market Analysis
CMT_L3_Assets,CMT Level 3,CMT,Asset Relationships,8,18,30,Sector Analysis
CMT_L3_Behavioral,CMT Level 3,CMT,Behavioral Finance,6,10,20,Research Methods
CMT_L3_Other,CMT Level 3,CMT,Volatility Analysis,6,12,20,Regulations
