subject_code,cert,us_equiv,subject,difficulty,weight,hours,common_topic
CMT_L2_Risk,CMT Level 2,CMT,Risk Management,8,15,30,Risk Analysis
CMT_L2_Selection,CMT Level 2,CMT,Advanced Selection,7,10,20,Company Analysis
CMT_L2_System,CMT Level 2,CMT,System Testing,8,10,25,Research Reports
CMT_L2_Other,CMT Level 2,CMT,Market Indicators,6,35,35,Market Structure
CMT_L3_Portfolio,CMT Level 3,CMT,Portfolio Management,8,18,35,Company Analysis
CMT_L3_Risk,CMT Level 3,CMT,Advanced Risk Management,9,21,40,Risk Analysis
CMT_L3_Classic,CMT Level 3,CMT,Classic Methods,7,21,35,Market Analysis
CMT_L3_Assets,CMT Level 3,CMT,Asset Relationships,8,18,30,Sector Analysis
CMT_L3_Behavioral,CMT Level 3,CMT,Behavioral Finance,6,10,20,Research Methods
CMT_L3_Other,CMT Level 3,CMT,Volatility Analysis,6,12,20,Regulations
NISM_19C_Investment,NISM Series 19C,CAIA,Investment Landscape,4,2,3,Investment Fundamentals
NISM_19C_Types,NISM Series 19C,CAIA,Types of Investments,5,5,8,Alternative Investments
NISM_19C_Suitability,NISM Series 19C,CAIA,AIF Suitability,6,2,5,Alternative Investments
NISM_19C_Ecosystem,NISM Series 19C,CAIA,AIF Ecosystem,7,5,10,Fund Structure
NISM_19C_Structure,NISM Series 19C,CAIA,Fund Structuring,8,10,18,Fund Structure
NISM_19C_Fees,NISM Series 19C,CAIA,Fee Structure,6,10,15,Fund Management
NISM_19C_Performance,NISM Series 19C,CAIA,Performance Measurement,8,10,18,Performance Analysis
NISM_19C_Legal,NISM Series 19C,CAIA,Legal Documents,7,6,12,Legal Framework
NISM_19C_Strategies,NISM Series 19C,CAIA,Investment Strategies,9,10,20,Investment Strategies
NISM_19C_Governance,NISM Series 19C,CAIA,Fund Governance,7,10,15,Governance
NISM_19C_Valuation,NISM Series 19C,CAIA,Valuation Techniques,9,10,20,Valuation
NISM_19C_Monitoring,NISM Series 19C,CAIA,Fund Monitoring,6,10,12,Risk Management
NISM_19C_Taxation,NISM Series 19C,CAIA,Taxation,7,5,10,Tax Planning
NISM_19C_Regulatory,NISM Series 19C,CAIA,Regulatory Framework,8,10,15,Regulations
NISM_19D_Investment,NISM Series 19D,CAIA,Investment Landscape,4,2,2,Investment Fundamentals
NISM_19D_AIF_Suitability,NISM Series 19D,CAIA,AIF Suitability,5,2,3,Alternative Investments
NISM_19D_Ecosystem,NISM Series 19D,CAIA,AIF Ecosystem,6,5,8,Fund Structure
NISM_19D_Structure,NISM Series 19D,CAIA,Fund Structuring,7,10,12,Fund Structure
NISM_19D_Fees,NISM Series 19D,CAIA,Fee Structure,5,10,10,Fund Management
NISM_19D_Performance,NISM Series 19D,CAIA,Performance & Benchmarking,7,10,12,Performance Analysis
NISM_19D_Legal,NISM Series 19D,CAIA,Legal Documents,6,6,8,Legal Framework
NISM_19D_Strategies,NISM Series 19D,CAIA,Investment Strategies,8,10,15,Investment Strategies
NISM_19D_Governance,NISM Series 19D,CAIA,Investment Process & Governance,6,10,12,Governance
NISM_19D_Valuation,NISM Series 19D,CAIA,Valuation,8,10,15,Valuation
NISM_19D_Monitoring,NISM Series 19D,CAIA,Fund Monitoring & Exit,5,10,10,Risk Management
NISM_19D_Taxation,NISM Series 19D,CAIA,Taxation,6,5,8,Tax Planning
NISM_19D_Regulatory,NISM Series 19D,CAIA,Regulatory Framework,7,10,12,Regulations
CAIA_L1_Ethics,CAIA Level 1,CAIA,Professional Standards,5,15,30,Legal Framework
CAIA_L1_Intro,CAIA Level 1,CAIA,Alternative Investments Introduction,6,20,45,Alternative Investments
CAIA_L1_Real,CAIA Level 1,CAIA,Real Assets,7,20,50,Alternative Investments
CAIA_L1_Hedge,CAIA Level 1,CAIA,Hedge Funds,8,20,55,Investment Strategies
CAIA_L1_PE,CAIA Level 1,CAIA,Private Equity,7,15,45,Investment Strategies
CAIA_L1_Structured,CAIA Level 1,CAIA,Structured Products,8,10,35,Investment Fundamentals
CAIA_L2_Institutional,CAIA Level 2,CAIA,Institutional Asset Owners,6,10,30,Fund Management
CAIA_L2_Allocation,CAIA Level 2,CAIA,Asset Allocation,8,10,35,Investment Strategies
CAIA_L2_Risk,CAIA Level 2,CAIA,Risk Management,8,10,40,Risk Management
CAIA_L2_Methods,CAIA Level 2,CAIA,Methods & Models,9,10,45,Valuation
CAIA_L2_Access,CAIA Level 2,CAIA,Accessing Alternatives,7,10,35,Fund Structure
CAIA_L2_Managers,CAIA Level 2,CAIA,Manager Selection,7,10,30,Performance Analysis
CAIA_L2_Volatility,CAIA Level 2,CAIA,Volatility Strategies,8,10,35,Investment Strategies
NISM_21B_Landscape,NISM Series 21B,CFA,Investment Landscape,4,3,5,Investment Fundamentals
NISM_21B_Markets,NISM Series 21B,CFA,Securities Markets,5,2,4,Market Structure
NISM_21B_Stocks,NISM Series 21B,CFA,Investing in Stocks,6,5,10,Equity Analysis
NISM_21B_Fixed,NISM Series 21B,CFA,Fixed Income Securities,8,5,12,Fixed Income
NISM_21B_Derivatives,NISM Series 21B,CFA,Derivatives,9,5,15,Derivatives
NISM_21B_Mutual,NISM Series 21B,CFA,Mutual Funds,5,5,8,Investment Products
NISM_21B_Role,NISM Series 21B,CFA,Role of Portfolio Managers,6,10,15,Portfolio Management
NISM_21B_Operations,NISM Series 21B,CFA,Operational Aspects,7,10,18,Operations
NISM_21B_Process,NISM Series 21B,CFA,Portfolio Management Process,8,10,20,Portfolio Management
NISM_21B_Taxation,NISM Series 21B,CFA,Taxation,6,5,8,Tax Planning
NISM_21B_Regulatory,NISM Series 21B,CFA,Regulatory & Ethical Aspects,7,10,15,Ethics & Regulations
NISM_21B_Indices,NISM Series 21B,CFA,Introduction to Indices,5,5,8,Market Analysis
NISM_21B_Efficiency,NISM Series 21B,CFA,Informational Efficiency,7,5,10,Market Theory
NISM_21B_Behavioral,NISM Series 21B,CFA,Behavioral Finance,6,5,8,Behavioral Finance
NISM_21B_MPT,NISM Series 21B,CFA,Modern Portfolio Theory,8,5,12,Portfolio Theory
NISM_21B_CMT,NISM Series 21B,CFA,Capital Market Theory,8,5,12,Market Theory
NISM_21B_Risk,NISM Series 21B,CFA,Risk,7,10,15,Risk Management
NISM_21B_Equity_Strategies,NISM Series 21B,CFA,Equity Portfolio Strategies,9,15,25,Portfolio Strategies
NISM_21B_FI_Strategies,NISM Series 21B,CFA,Fixed Income Strategies,9,15,25,Portfolio Strategies
NISM_21B_Performance,NISM Series 21B,CFA,Performance Measurement,8,10,18,Performance Analysis
NISM_21B_Rebalancing,NISM Series 21B,CFA,Portfolio Rebalancing,7,5,10,Portfolio Management
